,publishedAt,nTags,categoryId,duration,definition,caption,embeddable,publicStatsViewable,madeForKids,viewCount,likeCount,dislikeCount,commentCount,country,channelPublishedAt,channelViewCount,subscriberCount,hiddenSubscriberCount,videoCount,defaultTab,title_polarity_scores,description_polarity_scores,ct_polarity_scores
0,78516402.482989,27,26,28827,0,0,1,1,0,11156226,29940,6355,3792,43,198022644.482989,54890686,204000,0,229,0,0.0,-0.8328,0.4404
1,23987821.482989,22,24,135,1,0,1,1,0,5976911,132234,1120,1251,21,43561188.28415,306619353,508000,0,128,0,-0.34,-0.9995,-0.2732
2,52699033.482989,6,10,114,1,0,1,1,0,5295431,95076,1506,709,21,63498287.482989,6130973,10600,0,53,0,0.0,0.0,0.0
3,292297002.482989,8,10,230,0,1,1,1,0,8331680,39605,1835,705,21,292320251.482989,37044354,34600,0,54,0,0.0,-0.1511,0.0
4,35811294.482989,16,10,133,1,0,1,1,0,2917687,90590,447,544,21,66329127.482989,23156819,41300,0,600,0,0.0,-0.34,0.0
5,19917800.482989,16,10,190,1,0,1,1,0,4472156,120868,1483,3645,45,227380617.482989,1090323462,3240000,0,173,0,0.0,0.875,0.0
6,27066098.482989,26,24,58,1,0,1,1,0,3154564,318838,5805,12596,68,37385995.813731,31292029,262000,0,63,0,0.0,0.0,0.0
7,86069433.482989,3,10,2701,1,0,1,1,0,557187,1841,458,37,21,93122802.482989,1429843,1990,0,23,0,0.6114,0.8268,0.0
8,24662592.482989,30,10,3612,1,0,1,0,1,191975,808,166,0,21,219537584.482989,653925004,1680000,0,1739,0,0.4939,0.9991,0.6369
9,49959805.482989,16,1,8148,1,0,1,1,0,1890737,8384,1481,421,35,213403273.482989,912734967,2050000,0,1013,0,-0.5719,0.9466,0.25
10,135384210.482989,20,10,205,1,0,1,1,0,2514148,47848,1021,937,21,154993161.482989,52519493,91600,0,26,0,0.0,0.0,0.0
11,158153474.482989,18,22,3819,0,1,1,1,0,810748,2752,643,100,21,158523117.482989,854615,2220,0,36,0,0.0,0.5859,0.0
12,40999401.482989,7,10,114,1,0,1,1,0,348897,5861,139,185,21,73572950.482989,3904912,15200,0,15,0,0.0,-0.7351,0.0
13,62206012.482989,6,10,36044,0,0,1,1,0,13032,32,7,5,21,62648206.482989,50773,77,0,76,0,0.0,0.0,0.0
14,52904605.482989,27,10,36037,1,0,1,1,0,299099,787,178,97,21,53781686.482989,364082,581,1,12,0,0.0,0.9538,0.4404
